date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2023-11-01,0,0,0,0,0
2023-11-02,0,0,0,0,0
2023-11-03,0,0,0,0,0
2023-11-04,0,0,0,0,0
2023-11-05,0,0,0,0,0
2023-11-06,0,0,0,0,0
2023-11-07,0,0,0,0,0
2023-11-08,0,0,0,0,0
2023-11-09,0,0,0,0,0
2023-11-10,0,0,0,0,0
2023-11-11,0,0,0,0,0
2023-11-12,0,0,0,0,0
2023-11-13,0,0,0,0,0
2023-11-14,0,0,0,0,0
2023-11-15,0,0,0,0,0
2023-11-16,0,0,0,0,0
2023-11-17,0,0,0,0,0
2023-11-18,0,0,0,0,0
2023-11-19,0,0,0,0,0
2023-11-20,0,0,0,0,0
2023-11-21,0,0,0,0,0
2023-11-22,0,0,0,0,0
2023-11-23,0,0,0,0,0
2023-11-24,0,0,0,0,0
2023-11-25,0,0,0,0,0
2023-11-26,0,0,0,0,0
2023-11-27,0,0,0,0,0
2023-11-28,0,0,0,0,0
2023-11-29,0,0,0,0,0
2023-11-30,0,0,0,0,0
2023-12-01,0,0,0,0,0
2023-12-02,0,0,0,0,0
2023-12-03,0,0,0,0,0
2023-12-04,0,0,0,0,0
2023-12-05,0,0,0,0,0
2023-12-06,571,316,306,2017979,146
2023-12-07,522,364,351,2330714,167
2023-12-08,615,329,298,1989217,171
2023-12-09,581,366,322,2506460,149
2023-12-10,358,183,169,1084112,57
2023-12-11,585,195,186,1173456,80
2023-12-12,446,241,231,1502182,114
2023-12-13,486,323,305,2059002,154
2023-12-14,518,328,322,2079463,107
2023-12-15,616,300,266,1869791,165
2023-12-16,527,287,244,1880885,164
2023-12-17,181,91,86,544382,45
2023-12-18,466,169,161,1086384,107
2023-12-19,218,107,106,696739,67
2023-12-20,406,258,241,1960340,170
2023-12-21,184,112,101,788013,73
2023-12-22,580,292,239,1895425,137
2023-12-23,379,293,206,2153163,108
2023-12-24,123,150,88,988310,46
2023-12-25,151,111,73,768197,57
2023-12-26,190,139,116,909555,54
2023-12-27,158,95,66,678104,50
2023-12-28,338,174,105,1236955,75
2023-12-29,382,300,149,2119496,123
2023-12-30,671,314,172,2396028,91
2023-12-31,875,410,268,3491026,106
2024-01-01,266,394,238,3126342,73
2024-01-02,239,292,161,1967688,80
2024-01-03,149,217,130,1337235,54
2024-01-04,99,133,81,793097,29
2024-01-05,225,132,87,883784,45
2024-01-06,232,278,213,1797489,57
2024-01-07,79,99,61,636021,24
2024-01-08,16,42,25,281305,5
2024-01-09,108,58,41,356207,19
2024-01-10,116,79,75,588173,31
2024-01-11,64,73,64,597962,19
2024-01-12,443,215,183,1238198,61
2024-01-13,133,291,242,1879826,69
2024-01-14,84,36,33,203061,15
2024-01-15,148,54,48,335353,36
2024-01-16,108,79,74,533389,34
2024-01-17,44,50,46,336299,12
2024-01-18,61,107,102,755577,18
2024-01-19,382,192,168,1363963,40
2024-01-20,218,280,235,2329226,69
2024-01-21,3578,220,204,1478899,27
2024-01-22,115,87,85,543487,14
2024-01-23,71,127,116,804297,28
2024-01-24,55,100,98,603732,19
2024-01-25,44,87,86,528625,17
2024-01-26,287,226,207,1431720,25
2024-01-27,103,166,143,1165216,31
2024-01-28,26,122,113,896193,9
2024-01-29,94,95,85,559747,18
2024-01-30,71,91,83,525929,15
2024-01-31,83,92,86,526694,13
2024-02-01,167,132,126,541889,21
2024-02-02,158,141,134,835762,27
2024-02-03,70,145,137,951099,28
2024-02-04,3,65,64,367107,1
2024-02-05,41,64,64,365774,8
2024-02-06,52,69,69,389695,11
2024-02-07,74,129,124,694421,8
2024-02-08,199,92,90,513311,22
2024-02-09,248,139,138,817604,24
2024-02-10,569,309,230,1908353,155
2024-02-11,150,214,181,1329117,19
2024-02-12,25,92,92,521239,6
2024-02-13,113,138,128,735342,12
2024-02-14,11,55,55,303140,1
2024-02-15,43,55,55,303636,5
2024-02-16,49,83,79,474445,7
2024-02-17,49,80,75,461049,14
2024-02-18,9,55,55,300789,1
2024-02-19,31,60,58,329555,6
2024-02-20,50,58,56,324347,7
2024-02-21,79,76,76,404087,8
2024-02-22,103,116,111,651302,15
2024-02-23,179,98,91,552543,28
2024-02-24,227,109,76,673087,52
2024-02-25,6,33,23,195339,1
2024-02-26,109,75,75,25859,8
2024-02-27,23,3,3,15292,3
2024-02-28,233,107,107,565683,6
2024-02-29,90,64,62,331267,11
2024-03-01,0,0,0,0,0
2024-03-02,0,0,0,0,0
2024-03-03,0,0,0,0,0
